"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CD36",5.82883328703727,7.33563105937368,81.4338641608388,2.74203371334908e-15,5.47693813904345e-11,23.6509287877132
"DUSP6",-4.22264650465146,9.09814657354132,-64.750214957193,2.62470963392201e-14,2.62129751139792e-10,22.3013290180088
"DCT",5.68226222458904,8.73212795515694,60.9032163367298,4.79771988803992e-14,3.19432190145698e-10,21.8939954132466
"SPRY2",-3.80763519208035,9.72025837742357,-55.7298375114446,1.14958097349166e-13,5.7404325911306e-10,21.2704385624928
"MOXD1",3.27324520318102,10.1684377316516,48.8415866818867,4.20920276516314e-13,1.68149232062737e-09,20.2754253976873
"ETV4",-3.85474375262233,9.65867980237469,-47.5402330859635,5.48923798431998e-13,1.82736732498012e-09,20.0623432782824
"ETV5",-4.10372730390857,8.85225906359239,-45.8003096486433,7.91911795109767e-13,2.2596637422175e-09,19.7632114024884
"DTL",-3.20235698295224,10.5026730090844,-45.1087516083226,9.19624486229962e-13,2.29607243599466e-09,19.6395473582872
"ST6GALNAC2",3.89019252181547,9.47158111651005,44.213211977696,1.11989927464239e-12,2.48542979018969e-09,19.4751784071254
"NUPR1",3.05057716454458,9.59112546272925,41.4033719510684,2.13429667548956e-12,4.26304417962284e-09,18.9263794104791
